UserName,Handle&Toxic,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image_link,Tweet_URL
@P4HR,Physicians for Human Rights,2023-02-09,"Through evidence, change is possible. ➡️ Follow our staff: goo.gl/PrZYs4",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy84Mzk4NzM2NDc2NTMzMTA0NjUvbG9EUXlrTGhfYmlnZ2VyLmpwZw==,https://nitter.it/P4HR
@MozDevNet,MDN Web Docs,2023-02-09,The official MDN Web Docs account. We deliver the best web docs around.,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNTExNDM0MjA3MDc5NDA3NjE4L0F3elV4blZmX2JpZ2dlci5wbmc=,https://nitter.it/MozDevNet
@kuma_village,球磨村役場,2023-02-09,急流と鍾乳洞の里「くまむら」の公式Twitterです。 日本三大急流「球磨川」でのラフティングや球磨川下り。九州最大の鍾乳洞「球泉洞」などがあります。令和2年7月豪雨により本村は未曾有の災害に見舞われました。災害から復旧・復興に向けた情報発信を行なっていきます。,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy83MjMzMDIzMzE0MjEzMTUwNzIvdUJ1V2pQRWpfYmlnZ2VyLmpwZw==,https://nitter.it/kuma_village
@KumaQiii,KUMAQI熊祁,2023-02-09,cosplayer. 🇨🇳 ｜｜Call me kuma🐻or kumaqi. ｜｜Instagram：kumaqiii ｜｜ コスプレ歴12年  ｜｜ business：DMまで📩,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy84MTE1Mzg2MTU2OTE5NDM5MzYvSWE3cVpKWGhfYmlnZ2VyLmpwZw==,https://nitter.it/KumaQiii
@OfficialKumaInu,Kuma Inu Official,2023-02-09,"Kuma Inu $KUMA 🐶 $dKUMA 🐻, 100% community-driven #DeFi ecosystem. First #meme with utility. t.me/KumaInuInfinite linktr.ee/KumaInuToken",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNTI4MDA0OTA5NTY3Nzc0NzIyL2d6OXFlNVZ6X2JpZ2dlci5qcGc=,https://nitter.it/OfficialKumaInu
@kmmk_anime,TVアニメ「くまみこ」公式,2023-02-09,4月3日(日)よりAT-X、TOKYO MX、サンテレビ、KBS京都、KHB東日本放送、新潟放送、BS11にてTVアニメ放送開始！「くまみこ」（原作:吉元ますめ[KADOKAWA/月刊コミックフラッパー連載]）公式Twitterです♪推奨ハッシュタグ：#kumamiko,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy82ODAzNDUyNTA3OTE5ODUxNTMvNllNXzBSX0tfYmlnZ2VyLmpwZw==,https://nitter.it/kmmk_anime
@Shad_khalif,Tawera: Ama mimi ndio mjinga?🤔,2023-02-09,"Shad of many Books📚📚, Master of Analysts. I do Art and Craft on Excel #TeamArsenalWOMEN #ScrabbleKenya",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNjYyMzk5NjQ2OTEwNTEzMTU3LzJZQ0hkWUlXX2JpZ2dlci5qcGc=,https://nitter.it/Shad_khalif
@ge_jitsukaKUMA,篠原 勝之,2023-02-09,ゲージツ家ＫＵＭＡ。鉄が錆びてやがて土に還るように、土くれで〈空っぽ〉を手捏ねする日々。気まぐれに小説も。『走れUMI』〈小学館児童出版文化賞〉『骨風』〈泉鏡花賞〉受賞。,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xMDAxMzkxMDkxNjE3MTIwMjU2L0VQVXNOaEUzX2JpZ2dlci5qcGc=,https://nitter.it/ge_jitsukaKUMA
@kumascorner,Kuma's Corner,2023-02-09,"The ORIGINAL Kuma's Corner. Metal, beer, and the best burgers on this planet or any other.

order now - kumascorner.com/links/",embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy82NDA5MjE1ODE2NjYxMDczOTIveVY5X1RYZkJfYmlnZ2VyLmpwZw==,https://nitter.it/kumascorner
@superbear83915,社長Kuma🐻🎙算是YouTuber,2023-02-09,「銳評50% 幹話50%」Art/Meme tag: #是在kuma｜配信tag: #社長ONAIR 棉花糖: marshmallow-qa.com/superbear……,embedded,,12,43,23,https://nitter.it/pic/enc/cGJzLnR3aW1nLmNvbS9wcm9maWxlX2ltYWdlcy8xNjQyMzY0MDM0NjA2NTY3NDI0L2V4czVQRHJUX2JpZ2dlci5qcGc=,https://nitter.it/superbear83915
@IreneFr91871973,,2023-02-09,@IreneFr91871973's account is temporarily unavailable because it violates the Twitter Media Policy. support.twitter.com/articles….,embedded,,12,43,23,https://nitter.it/pic/enc/,https://nitter.it/IreneFr91871973
